id,seed_id,pair_id,eval_context,difficulty,input,output,expected_answer,expected_citations,expected_assertions,task_completion_score,format_adherence_score,factuality_score,verdict,failure_mode,error_span,judge_rationale,judge_type
law-0001,bns-murder,pair-01,retrieval,clear,What is the punishment for murder under BNS 2023?,"Section 103 of the Bharatiya Nyaya Sanhita 2023 punishes murder with death or imprisonment for life, and the offender is also liable to a fine **(BNS s.103 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*","BNS s.103: murder punishable by death or life imprisonment, plus fine.",BNS s.103,must_cite=BNS s.103;must_contain=death|imprisonment for life;should_refuse=false,5,1,5,pass,none,,"Accurate, cites BNS s.103, footer present — task 5 / format 1 / fact 5.",llm
law-0002,bns-rape,pair-03,retrieval,borderline,What is the punishment for rape under BNS 2023?,"This is addressed in the indexed statutes, though the precise section wording should be checked **(BNS s.63 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*","BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine.",BNS s.63,must_cite=BNS s.63;must_contain=rape;should_refuse=false,2,1,5,fail,task_incomplete,(omits the specific answer),Names the topic and mostly frames it but omits the specific answer — arguable task 2.,hitl
law-0003,bns-robbery,pair-04,retrieval,clear,What does BNS Section 309 say about robbery?,"Section 309 of the Bharatiya Nyaya Sanhita 2023 provides that in all robbery there is either theft or extortion, and theft becomes robbery where force or fear of instant hurt is used to commit it or carry away the property **(BNS s.309 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*",BNS s.309: robbery is theft or extortion with force / fear of instant hurt.,BNS s.309,must_cite=BNS s.309;must_contain=robbery;should_refuse=false,5,1,5,pass,none,,"Accurate, cites BNS s.309, footer present — task 5 / format 1 / fact 5.",llm
law-0004,bns-punishments,pair-02,retrieval,clear,What punishments are available under BNS 2023?,"Section 4 of the Bharatiya Nyaya Sanhita 2023 lists the punishments as death, imprisonment for life, imprisonment, forfeiture of property, fine, and community service **(BNS s.4 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*","BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service.",BNS s.4,must_cite=BNS s.4;must_contain=punishment;should_refuse=false,5,1,5,pass,none,,"Accurate, cites BNS s.4, footer present — task 5 / format 1 / fact 5.",llm
law-0005,bns-definitions,,retrieval,clear,What does BNS Section 2 cover?,"Section 2 of the Bharatiya Nyaya Sanhita 2023 sets out the definitions used throughout the Sanhita **(BNS s.2 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*",BNS s.2 = definitions used across the Sanhita.,BNS s.2,must_cite=BNS s.2;must_contain=definitions;should_refuse=false,5,1,5,pass,none,,"Accurate, cites BNS s.2, footer present — task 5 / format 1 / fact 5.",llm
law-0006,const-life,pair-13,retrieval,clear,What is Article 21 of the Constitution of India?,"Article 21 of the Constitution provides that no person shall be deprived of his life or personal liberty except according to procedure established by law **(Art. 21 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*",Art. 21: no deprivation of life or personal liberty except by procedure established by law.,Art. 21,must_cite=Art. 21;must_contain=life and personal liberty;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Art. 21, footer present — task 5 / format 1 / fact 5.",llm
law-0007,const-equality,pair-11,retrieval,clear,What does Article 14 of the Constitution guarantee?,"Article 14 provides that the State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India **(Art. 14 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*",Art. 14: equality before the law and equal protection of the laws.,Art. 14,must_cite=Art. 14;must_contain=equality;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Art. 14, footer present — task 5 / format 1 / fact 5.",llm
law-0008,const-freedom,,retrieval,clear,What freedoms does Article 19 of the Constitution protect?,"Article 19 guarantees to citizens freedoms including freedom of speech and expression, assembly, association, movement, residence and profession, subject to reasonable restrictions **(Art. 19 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*","Art. 19: freedoms of speech, assembly, association, movement, residence, profession.",Art. 19,must_cite=Art. 19;must_contain=freedom;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Art. 19, footer present — task 5 / format 1 / fact 5.",llm
law-0009,const-remedies,pair-14,retrieval,borderline,What is Article 32 of the Constitution about?,"Article 32 lets a person approach the Supreme Court directly to enforce fundamental rights **(Art. 32 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*",Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs.,Art. 32,must_cite=Art. 32;must_contain=remedies;should_refuse=false,5,1,4,pass,none,,Correct with a minor imprecision; still accurate — factuality 4.,hitl
law-0010,const-hc-writ,pair-12,retrieval,clear,What is Article 226 of the Constitution about?,"Article 226 confers power on High Courts to issue directions, orders or writs — including habeas corpus, mandamus, prohibition, quo warranto and certiorari — to any person or authority within their territorial jurisdiction. This provision also carries a fixed penalty of Rs.50,000 in all cases **(Art. 226 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*",Art. 226: High Court power to issue writs within its territorial jurisdiction.,Art. 226,must_cite=Art. 226;must_contain=High Court;should_refuse=false,5,1,2,fail,hallucination,"fixed penalty of Rs.50,000 in all cases",Invents figures/terms not supported by the cited section — factuality 2.,llm
