id,seed_id,pair_id,eval_context,difficulty,input,output,expected_answer,expected_citations,expected_assertions,task_completion_score,format_adherence_score,factuality_score,verdict,failure_mode,error_span,judge_rationale,judge_type
edu-0001,hist1-frenchrev,,retrieval,clear,What was the role of the French Revolution in spreading nationalism in Europe?,"The French Revolution of 1789 introduced the ideas of liberty, equality and fraternity and created the first clear expression of nationalism, transferring sovereignty from the monarch to a body of French citizens **(Hist Ch.1 §1.1 — History Ch.1: The Rise of Nationalism in Europe)**.","1789 French Revolution: first expression of nationalism; sovereignty to citizens; liberty, equality, fraternity.",Hist Ch.1 §1.1,must_cite_doc_id=HIST_CH1_NATIONALISM_EUROPE;must_contain=French Revolution|nationalism;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Hist Ch.1 §1.1 in the required format — task 5 / format 1 / fact 5.",llm
edu-0002,hist1-napcode,,retrieval,borderline,What did the Napoleonic Code do?,"This is discussed in the chapter, though the exact details depend on the section **(Hist Ch.1 §1.2 — History Ch.1: The Rise of Nationalism in Europe)**.","Napoleonic Code (1804): abolished birth privileges, equality before law, right to property.",Hist Ch.1 §1.2,must_cite_doc_id=HIST_CH1_NATIONALISM_EUROPE;must_contain=Napoleonic Code|equality;should_refuse=false,2,1,5,fail,task_incomplete,(omits the specific answer),Names the topic and mostly frames it but omits the specific answer — arguable task 2.,hitl
edu-0003,hist1-mazzini,,retrieval,clear,Who was Giuseppe Mazzini and what was his role in European nationalism?,Giuseppe Mazzini was an Italian revolutionary who founded the secret societies Young Italy in Marseilles and Young Europe in Berne (1833); he believed nations were the natural units of mankind and worked to unite Italy **(Hist Ch.1 §2.2 — History Ch.1: The Rise of Nationalism in Europe)**.,"Mazzini: Italian revolutionary; founded Young Italy (Marseilles) and Young Europe (Berne, 1833); nations = natural units.",Hist Ch.1 §2.2,must_cite_doc_id=HIST_CH1_NATIONALISM_EUROPE;must_contain=Mazzini;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Hist Ch.1 §2.2 in the required format — task 5 / format 1 / fact 5.",llm
edu-0004,hist1-zollverein,,retrieval,clear,What was the zollverein?,"The zollverein was a customs union formed in 1834 at the initiative of Prussia; it abolished tariff barriers among the German states and reduced the number of currencies, binding the states economically **(Hist Ch.1 §2.1 — History Ch.1: The Rise of Nationalism in Europe)**.","Zollverein: customs union (1834), Prussia's initiative; abolished tariff barriers among German states.",Hist Ch.1 §2.1,must_cite_doc_id=HIST_CH1_NATIONALISM_EUROPE;must_contain=zollverein|customs;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Hist Ch.1 §2.1 in the required format — task 5 / format 1 / fact 5.",llm
edu-0005,hist1-frankfurt,,retrieval,clear,What was the Frankfurt Parliament?,"In 1848 elected representatives met in the Frankfurt Parliament, convened in the Church of St Paul, and drafted a constitution for a German nation to be headed by a monarch subject to a parliament **(Hist Ch.1 §3.1 — History Ch.1: The Rise of Nationalism in Europe)**.","Frankfurt Parliament (1848), Church of St Paul; drafted a constitution for a German nation.",Hist Ch.1 §3.1,must_cite_doc_id=HIST_CH1_NATIONALISM_EUROPE;must_contain=Frankfurt;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Hist Ch.1 §3.1 in the required format — task 5 / format 1 / fact 5.",llm
edu-0006,hist1-sorrieu,,retrieval,clear,What did Frédéric Sorrieu's 1848 prints depict?,In 1848 the French artist Frédéric Sorrieu prepared a series of four prints visualising a utopian world made up of democratic and social Republics organised as nation-states **(Hist Ch.1 §1 — History Ch.1: The Rise of Nationalism in Europe)**.,Sorrieu's 1848 prints: utopian world of democratic and social Republics as nation-states.,Hist Ch.1 §1,must_cite_doc_id=HIST_CH1_NATIONALISM_EUROPE;must_contain=Sorrieu|nation;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Hist Ch.1 §1 in the required format — task 5 / format 1 / fact 5.",llm
edu-0007,hist2-noncoop,,retrieval,clear,Why did Gandhi start the Non-Cooperation Movement?,"In Hind Swaraj (1909) Gandhi argued that British rule was established with the cooperation of Indians and survived only because of it, so if Indians refused to cooperate British rule would collapse and swaraj would come **(Hist Ch.2 §1.3 — History Ch.2: Nationalism in India)**.","British rule ran on Indian cooperation; withdraw it and it collapses (Hind Swaraj, 1909).",Hist Ch.2 §1.3,must_cite_doc_id=HIST_CH2_NATIONALISM_INDIA;must_contain=cooperat|swaraj;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Hist Ch.2 §1.3 in the required format — task 5 / format 1 / fact 5.",llm
edu-0008,hist2-rowlatt,,retrieval,clear,What was the Rowlatt Act?,"The Rowlatt Act of 1919 gave the government enormous powers to repress political activities and allowed detention of political prisoners without trial, so Gandhi launched a nationwide satyagraha against it **(Hist Ch.2 §1.2 — History Ch.2: Nationalism in India)**.",Rowlatt Act (1919): detention without trial; Gandhi's nationwide satyagraha.,Hist Ch.2 §1.2,must_cite_doc_id=HIST_CH2_NATIONALISM_INDIA;must_contain=Rowlatt|satyagraha;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Hist Ch.2 §1.2 in the required format — task 5 / format 1 / fact 5.",llm
edu-0009,hist2-khilafat,,retrieval,borderline,What was the Khilafat issue?,"The Khilafat issue was about protecting the Ottoman Caliph, and Gandhi used it to unite Hindus and Muslims **(Hist Ch.2 §1.1 — History Ch.2: Nationalism in India)**.",Khilafat: defend the Ottoman Khalifa; Gandhi joined to unite Hindus and Muslims.,Hist Ch.2 §1.1,must_cite_doc_id=HIST_CH2_NATIONALISM_INDIA;must_contain=Khilafat;should_refuse=false,5,1,4,pass,none,,Correct with a minor imprecision or loose paraphrase; still accurate — factuality 4.,hitl
edu-0010,hist2-dandi,,retrieval,clear,What was the significance of the Dandi March?,During the 1930 Salt March Gandhi collected a fixed tax of two rupees from every marcher to fund the movement **(Hist Ch.2 §3.1 — History Ch.2: Nationalism in India)**.,Salt/Dandi March (1930): broke the salt law; launched Civil Disobedience Movement.,Hist Ch.2 §3.1,must_cite_doc_id=HIST_CH2_NATIONALISM_INDIA;must_contain=salt|Dandi;should_refuse=false,5,1,2,fail,hallucination,collected a fixed tax of two rupees from every marcher,Invents figures or facts not supported by the chapter — factuality 2.,llm
