input,eval_context,expected_output,output
What is the punishment for murder under BNS 2023?,"REFERENCE ANSWER: BNS s.103: murder punishable by death or life imprisonment, plus fine. | EXPECTED CITATIONS: BNS s.103","BNS s.103: murder punishable by death or life imprisonment, plus fine.","Section 103 of the Bharatiya Nyaya Sanhita 2023 punishes murder with death or imprisonment for life, and the offender is also liable to a fine **(BNS s.103 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What is the punishment for rape under BNS 2023?,"REFERENCE ANSWER: BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine. | EXPECTED CITATIONS: BNS s.63","BNS s.63 defines rape; s.64 = >=10 yrs rigorous imprisonment to life, plus fine.","This is addressed in the indexed statutes, though the precise section wording should be checked **(BNS s.63 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does BNS Section 309 say about robbery?,REFERENCE ANSWER: BNS s.309: robbery is theft or extortion with force / fear of instant hurt. | EXPECTED CITATIONS: BNS s.309,BNS s.309: robbery is theft or extortion with force / fear of instant hurt.,"Section 309 of the Bharatiya Nyaya Sanhita 2023 provides that in all robbery there is either theft or extortion, and theft becomes robbery where force or fear of instant hurt is used to commit it or carry away the property **(BNS s.309 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What punishments are available under BNS 2023?,"REFERENCE ANSWER: BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service. | EXPECTED CITATIONS: BNS s.4","BNS s.4: death, life imprisonment, imprisonment, forfeiture, fine, community service.","Section 4 of the Bharatiya Nyaya Sanhita 2023 lists the punishments as death, imprisonment for life, imprisonment, forfeiture of property, fine, and community service **(BNS s.4 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does BNS Section 2 cover?,REFERENCE ANSWER: BNS s.2 = definitions used across the Sanhita. | EXPECTED CITATIONS: BNS s.2,BNS s.2 = definitions used across the Sanhita.,"Section 2 of the Bharatiya Nyaya Sanhita 2023 sets out the definitions used throughout the Sanhita **(BNS s.2 — Bharatiya Nyaya Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What is Article 21 of the Constitution of India?,REFERENCE ANSWER: Art. 21: no deprivation of life or personal liberty except by procedure established by law. | EXPECTED CITATIONS: Art. 21,Art. 21: no deprivation of life or personal liberty except by procedure established by law.,"Article 21 of the Constitution provides that no person shall be deprived of his life or personal liberty except according to procedure established by law **(Art. 21 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does Article 14 of the Constitution guarantee?,REFERENCE ANSWER: Art. 14: equality before the law and equal protection of the laws. | EXPECTED CITATIONS: Art. 14,Art. 14: equality before the law and equal protection of the laws.,"Article 14 provides that the State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India **(Art. 14 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What freedoms does Article 19 of the Constitution protect?,"REFERENCE ANSWER: Art. 19: freedoms of speech, assembly, association, movement, residence, profession. | EXPECTED CITATIONS: Art. 19","Art. 19: freedoms of speech, assembly, association, movement, residence, profession.","Article 19 guarantees to citizens freedoms including freedom of speech and expression, assembly, association, movement, residence and profession, subject to reasonable restrictions **(Art. 19 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What is Article 32 of the Constitution about?,REFERENCE ANSWER: Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs. | EXPECTED CITATIONS: Art. 32,Art. 32: right to move the Supreme Court for enforcement of fundamental rights; writs.,"Article 32 lets a person approach the Supreme Court directly to enforce fundamental rights **(Art. 32 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What is Article 226 of the Constitution about?,REFERENCE ANSWER: Art. 226: High Court power to issue writs within its territorial jurisdiction. | EXPECTED CITATIONS: Art. 226,Art. 226: High Court power to issue writs within its territorial jurisdiction.,"Article 226 confers power on High Courts to issue directions, orders or writs — including habeas corpus, mandamus, prohibition, quo warranto and certiorari — to any person or authority within their territorial jurisdiction. This provision also carries a fixed penalty of Rs.50,000 in all cases **(Art. 226 — Constitution of India)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What constitutes a valid contract under the Indian Contract Act 1872?,"REFERENCE ANSWER: Contract Act s.10: free consent, competent parties, lawful consideration and object. | EXPECTED CITATIONS: Contract Act s.10","Contract Act s.10: free consent, competent parties, lawful consideration and object.","Under Section 10 of the Indian Contract Act 1872, an agreement is a contract if made by the free consent of parties competent to contract, for a lawful consideration and with a lawful object, and not expressly declared void **(Contract Act s.10 — Indian Contract Act 1872)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
How does the Contract Act define a proposal?,"REFERENCE ANSWER: Contract Act s.2: defines proposal, acceptance, promise and consideration. | EXPECTED CITATIONS: Contract Act s.2","Contract Act s.2: defines proposal, acceptance, promise and consideration.","Section 2 of the Indian Contract Act 1872 defines core terms — a proposal is when one person signifies to another his willingness to do or abstain from doing something with a view to obtaining assent, and covers acceptance, promise and consideration **(Contract Act s.2 — Indian Contract Act 1872)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What does Section 73 of the Contract Act say about damages?,REFERENCE ANSWER: Contract Act s.73: compensation for loss naturally arising from breach; not remote loss. | EXPECTED CITATIONS: Contract Act s.73,Contract Act s.73: compensation for loss naturally arising from breach; not remote loss.,"Section 73 of the Indian Contract Act 1872 provides that when a contract is broken, the party who suffers is entitled to compensation for loss or damage that naturally arose in the usual course of things from the breach, but not for remote or indirect loss **(Contract Act s.73 — Indian Contract Act 1872)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What is the definition of consumer under the Consumer Protection Act 2019?,REFERENCE ANSWER: CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose. | EXPECTED CITATIONS: CP s.2,CP s.2: buyer of goods/services for consideration; excludes resale/commercial purpose.,"Section 2 of the Consumer Protection Act 2019 defines a consumer as a person who buys goods or hires services for consideration, but excludes a person who obtains goods for resale or for a commercial purpose **(CP s.2 — Consumer Protection Act 2019)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
How does a consumer file a complaint under the CP Act 2019?,REFERENCE ANSWER: CP s.35: complaint to the District Commission within its pecuniary jurisdiction. | EXPECTED CITATIONS: CP s.35,CP s.35: complaint to the District Commission within its pecuniary jurisdiction.,"Section 35 of the Consumer Protection Act 2019 allows a consumer to file a complaint before the District Commission where the value of the goods or services and compensation claimed is within its pecuniary jurisdiction **(CP s.35 — Consumer Protection Act 2019)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
How can violations of consumer rights be raised to the CCPA?,REFERENCE ANSWER: CP s.17: violation of consumer rights may be raised to the CCPA. | EXPECTED CITATIONS: CP s.17,CP s.17: violation of consumer rights may be raised to the CCPA.,Section 17 of the Consumer Protection Act 2019 allows a complaint about a violation of consumer rights to be forwarded to the Central Consumer Protection Authority (CCPA) by the District Collector **(CP s.17 — Consumer Protection Act 2019)**.
What is personal data under the DPDP Act 2023?,REFERENCE ANSWER: DPDP s.2: personal data = data about an identifiable individual. | EXPECTED CITATIONS: DPDP s.2,DPDP s.2: personal data = data about an identifiable individual.,"Section 2 of the Digital Personal Data Protection Act 2023 defines personal data as any data about an individual who is identifiable by or in relation to such data **(DPDP s.2 — Digital Personal Data Protection Act 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What are the grounds for processing personal data under the DPDP Act 2023?,"REFERENCE ANSWER: DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses. | EXPECTED CITATIONS: DPDP s.4","DPDP s.4: processing only for a lawful purpose, on consent or legitimate uses.","Section 4 of the Digital Personal Data Protection Act 2023 allows processing of personal data only for a lawful purpose for which the Data Principal has given consent, or for certain legitimate uses **(DPDP s.4 — Digital Personal Data Protection Act 2023)**."
What obligations does a Data Fiduciary have under the DPDP Act 2023?,"REFERENCE ANSWER: DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure. | EXPECTED CITATIONS: DPDP s.8","DPDP s.8: Data Fiduciary duties — accuracy, security safeguards, erasure.","Section 8 of the Digital Personal Data Protection Act 2023 places general obligations on a Data Fiduciary, including ensuring accuracy of data, implementing reasonable security safeguards, and erasing personal data once the purpose is served. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
What is the procedure for filing an FIR under BNSS 2023?,REFERENCE ANSWER: BNSS s.173: FIR — information on a cognizable offence recorded in writing. | EXPECTED CITATIONS: BNSS s.173,BNSS s.173: FIR — information on a cognizable offence recorded in writing.,"Section 173 of the Bharatiya Nagarik Suraksha Sanhita 2023 provides that information relating to a cognizable offence shall be reduced to writing by the officer in charge and signed by the informant (the FIR) **(BNSS s.173 — Bharatiya Nagarik Suraksha Sanhita 2023)**. *This is not legal advice. For specific legal matters, consult a qualified advocate.*"
