id,seed_id,pair_id,eval_context,difficulty,input,output,expected_answer,expected_citations,expected_assertions,task_completion_score,format_adherence_score,factuality_score,verdict,failure_mode,error_span,judge_rationale,judge_type
fr-0001,r-presenter,pair-26,retrieval,clear,How do you introduce yourself in French according to the CBSE Class 9 textbook?,"Pour se présenter, le manuel CBSE 9 (Leçon 1) enseigne 'Je m'appelle...', 'J'ai ... ans', 'J'habite à...' et 'Je suis...' pour la nationalité ; Akanksha et Kunal servent de personnages exemples **(EJ-9 §J'apprends à me présenter : — CBSE Class 9: Entre Jeunes)**.","Se présenter : 'Je m'appelle...', 'J'ai ... ans', 'J'habite à...', 'Je suis...' (nationalité).",EJ-9 §J'apprends à me présenter :,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=Je m'appelle|présent;should_refuse=false,5,1,5,pass,none,,"Exact, cite EJ-9 §J'apprends à me présenter : — task 5 / format 1 / fact 5.",llm
fr-0002,r-saluer,,retrieval,borderline,Comment saluer quelqu'un en français selon le manuel CBSE classe 9 ?,"Ce point est abordé dans le manuel, mais les termes exacts dépendent du chapitre **(EJ-9 §J'apprends à saluer : — CBSE Class 9: Entre Jeunes)**.","Saluer : 'Bonjour', 'Salut', 'Bonsoir' ; 'Comment allez-vous ?' (formel) / 'Ça va ?' (informel) ; 'Au revoir'.",EJ-9 §J'apprends à saluer :,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=Bonjour|Salut;should_refuse=false,2,1,5,fail,task_incomplete,(omet la réponse précise),Nomme le sujet et le cadre en grande partie mais omet la réponse précise — task 2 discutable.,hitl
fr-0003,r-famille,,retrieval,clear,How is family vocabulary introduced in CBSE Class 9?,"CBSE 9 présente le vocabulaire de la famille à travers 'LA FAMILLE MARTIN' (Denis Martin, ses parents, sa cousine Catherine...) ; on y apprend père, mère, frère, sœur et cousin, avec un exercice d'arbre généalogique **(EJ-9 §LAFAMILLE MARTIN — CBSE Class 9: Entre Jeunes)**.","Vocabulaire de la famille via 'La Famille Martin' : père, mère, frère, sœur, cousin.",EJ-9 §LAFAMILLE MARTIN,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=famille|père|mère;should_refuse=false,5,1,5,pass,none,,"Exact, cite EJ-9 §LAFAMILLE MARTIN — task 5 / format 1 / fact 5.",llm
fr-0004,r-achats,pair-10,retrieval,clear,What is the topic of CBSE Class 9 Leçon 8 'Faire des achats'?,"La Leçon 8 'Faire des achats' (Unité 3) porte sur le vocabulaire des courses (boulangerie, épicerie, supermarché, centre commercial), l'expression de l'opinion, le conditionnel de politesse, le pronom 'en' et les expressions de quantité **(EJ-9 §Faire des achats — CBSE Class 9: Entre Jeunes)**.","Leçon 8 'Faire des achats' (Unité 3) : vocabulaire des magasins, opinion, conditionnel de politesse, pronom 'en', quantités.",EJ-9 §Faire des achats,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=magasin|achat;should_refuse=false,5,1,5,pass,none,,"Exact, cite EJ-9 §Faire des achats — task 5 / format 1 / fact 5.",llm
fr-0005,r-francophonie,pair-19,retrieval,clear,Qu'apprend-on sur la francophonie dans CBSE Classe 9 ?,"La Leçon 12 'La Francophonie' couvre les pays francophones, la Journée de la Francophonie et des chanteurs et chanteuses francophones ; le Sénégal sert d'exemple détaillé **(EJ-9 §La Francophonie — CBSE Class 9: Entre Jeunes)**.","Leçon 12 'La Francophonie' : pays francophones, Journée de la Francophonie, chanteurs francophones ; Sénégal en exemple.",EJ-9 §La Francophonie,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=francophon|Sénégal;should_refuse=false,5,1,5,pass,none,,"Exact, cite EJ-9 §La Francophonie — task 5 / format 1 / fact 5.",llm
fr-0006,r-unit1,,retrieval,clear,What grammar topics are covered in CBSE Class 9 Unit 1?,"L'Unité 1 de CBSE 9 (Leçons 1 à 3 : 'La famille', 'Au lycée', 'Une journée de Pauline') couvre l'identité de base, le vocabulaire de l'école et de la famille, la routine quotidienne et des verbes simples adaptés au niveau A1 **(EJ-9 §TABLE DES MATIERES — CBSE Class 9: Entre Jeunes)**.","Unité 1 (Leçons 1-3) : identité, école, famille, routine quotidienne, verbes simples (A1).",EJ-9 §TABLE DES MATIERES,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=Leçon|Unité;should_refuse=false,5,1,5,pass,none,,"Exact, cite EJ-9 §TABLE DES MATIERES — task 5 / format 1 / fact 5.",llm
fr-0007,r-alphabet,pair-11,retrieval,clear,What does CBSE Class 9 teach about the French alphabet?,"CBSE 9 fait écouter et répéter l'alphabet français, puis demande à l'élève d'épeler son prénom et son nom **(EJ-9 §J'étudie l'alphabet : — CBSE Class 9: Entre Jeunes)**.","Alphabet : écouter et répéter, puis épeler son prénom et son nom.",EJ-9 §J'étudie l'alphabet :,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=alphabet|épel;should_refuse=false,5,1,5,pass,none,,"Exact, cite EJ-9 §J'étudie l'alphabet : — task 5 / format 1 / fact 5.",llm
fr-0008,r-articles,pair-13,retrieval,clear,What articles does CBSE Class 9 practise?,"CBSE 9 fait travailler les articles indéfinis 'un', 'une', 'des' et les articles définis 'le', 'la', 'les' dans des exercices à compléter **(EJ-9 §I. Complète avec un, une, des, le, la, les — CBSE Class 9: Entre Jeunes)**.",Articles indéfinis un/une/des et définis le/la/les (exercices à compléter).,"EJ-9 §I. Complète avec un, une, des, le, la, les",must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=article|un|une;should_refuse=false,5,1,5,pass,none,,"Exact, cite EJ-9 §I. Complète avec un, une, des, le, la, les — task 5 / format 1 / fact 5.",llm
fr-0009,r-pollution,pair-25,retrieval,borderline,What do CBSE Class 10 students learn about pollution and the environment?,"CBSE 10 parle en gros de pollution, de recyclage et de protection de l'environnement **(EJ-10 §Je découvre: — CBSE Class 10: Entre Jeunes)**.","CBSE 10 : réchauffement, usines/voitures polluantes, énergie renouvelable, recyclage, protection de la nature.",EJ-10 §Je découvre:,must_cite_doc_id=CBSE_10_ENTREJEUNES;must_contain=pollu|environnement|recycl;should_refuse=false,5,1,4,pass,none,,Correct avec une imprécision mineure ; reste exact — factuality 4.,hitl
fr-0010,r-accent-grave,pair-09,retrieval,clear,Explique le sens du poème 'L'Accent Grave' de Prévert dans CBSE Classe 10.,"'L'Accent Grave' de Jacques Prévert, étudié en CBSE Classe 10, joue avec l'accent grave et reprend un vers de Hamlet ('être ou ne pas être') ; il se met en scène à deux personnages, le professeur et l'élève Hamlet. Ce point est développé précisément à la page 42 du manuel **(EJ-10 §L'Accent Grave — CBSE Class 10: Entre Jeunes)**.","'L'Accent Grave' (Prévert, CBSE 10) : jeu sur l'accent grave, reprise d'un vers de Hamlet, dialogue prof/élève.",EJ-10 §L'Accent Grave,must_cite_doc_id=CBSE_10_ENTREJEUNES;must_contain=Prévert|accent;should_refuse=false,5,1,2,fail,hallucination,précisément à la page 42 du manuel,Invente des chiffres non étayés par le chapitre — factuality 2.,llm
