input,eval_context,expected_output
What was the role of the French Revolution in spreading nationalism in Europe?,"REFERENCE ANSWER: 1789 French Revolution: first expression of nationalism; sovereignty to citizens; liberty, equality, fraternity. | EXPECTED CITATIONS: Hist Ch.1 §1.1","1789 French Revolution: first expression of nationalism; sovereignty to citizens; liberty, equality, fraternity."
What did the Napoleonic Code do?,"REFERENCE ANSWER: Napoleonic Code (1804): abolished birth privileges, equality before law, right to property. | EXPECTED CITATIONS: Hist Ch.1 §1.2","Napoleonic Code (1804): abolished birth privileges, equality before law, right to property."
Who was Giuseppe Mazzini and what was his role in European nationalism?,"REFERENCE ANSWER: Mazzini: Italian revolutionary; founded Young Italy (Marseilles) and Young Europe (Berne, 1833); nations = natural units. | EXPECTED CITATIONS: Hist Ch.1 §2.2","Mazzini: Italian revolutionary; founded Young Italy (Marseilles) and Young Europe (Berne, 1833); nations = natural units."
What was the zollverein?,"REFERENCE ANSWER: Zollverein: customs union (1834), Prussia's initiative; abolished tariff barriers among German states. | EXPECTED CITATIONS: Hist Ch.1 §2.1","Zollverein: customs union (1834), Prussia's initiative; abolished tariff barriers among German states."
What was the Frankfurt Parliament?,"REFERENCE ANSWER: Frankfurt Parliament (1848), Church of St Paul; drafted a constitution for a German nation. | EXPECTED CITATIONS: Hist Ch.1 §3.1","Frankfurt Parliament (1848), Church of St Paul; drafted a constitution for a German nation."
What did Frédéric Sorrieu's 1848 prints depict?,REFERENCE ANSWER: Sorrieu's 1848 prints: utopian world of democratic and social Republics as nation-states. | EXPECTED CITATIONS: Hist Ch.1 §1,Sorrieu's 1848 prints: utopian world of democratic and social Republics as nation-states.
Why did Gandhi start the Non-Cooperation Movement?,"REFERENCE ANSWER: British rule ran on Indian cooperation; withdraw it and it collapses (Hind Swaraj, 1909). | EXPECTED CITATIONS: Hist Ch.2 §1.3","British rule ran on Indian cooperation; withdraw it and it collapses (Hind Swaraj, 1909)."
What was the Rowlatt Act?,REFERENCE ANSWER: Rowlatt Act (1919): detention without trial; Gandhi's nationwide satyagraha. | EXPECTED CITATIONS: Hist Ch.2 §1.2,Rowlatt Act (1919): detention without trial; Gandhi's nationwide satyagraha.
What was the Khilafat issue?,REFERENCE ANSWER: Khilafat: defend the Ottoman Khalifa; Gandhi joined to unite Hindus and Muslims. | EXPECTED CITATIONS: Hist Ch.2 §1.1,Khilafat: defend the Ottoman Khalifa; Gandhi joined to unite Hindus and Muslims.
What was the significance of the Dandi March?,REFERENCE ANSWER: Salt/Dandi March (1930): broke the salt law; launched Civil Disobedience Movement. | EXPECTED CITATIONS: Hist Ch.2 §3.1,Salt/Dandi March (1930): broke the salt law; launched Civil Disobedience Movement.
What were the Silk Routes?,"REFERENCE ANSWER: Silk Routes: pre-modern trade routes linking Asia, Europe, N. Africa; carried goods and ideas. | EXPECTED CITATIONS: Hist Ch.3 §1.1","Silk Routes: pre-modern trade routes linking Asia, Europe, N. Africa; carried goods and ideas."
What were the Corn Laws?,"REFERENCE ANSWER: Corn Laws: restricted corn imports; abolition brought cheaper food, farm decline, migration. | EXPECTED CITATIONS: Hist Ch.3 §1.3","Corn Laws: restricted corn imports; abolition brought cheaper food, farm decline, migration."
