input,eval_context,expected_output
What does Saral Jeevan Bima cover?,REFERENCE ANSWER: Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term. | EXPECTED CITATIONS: SJB cl.1,Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term.
Is there a maturity benefit under Saral Jeevan Bima?,REFERENCE ANSWER: No maturity benefit; pure term plan. | EXPECTED CITATIONS: SJB cl.7,No maturity benefit; pure term plan.
What is the entry age for Saral Jeevan Bima?,"REFERENCE ANSWER: Minimum entry age 18, maximum 65. | EXPECTED CITATIONS: SJB cl.2","Minimum entry age 18, maximum 65."
What is the policy term range for Saral Jeevan Bima?,REFERENCE ANSWER: Term 5 to 40 years. | EXPECTED CITATIONS: SJB cl.3,Term 5 to 40 years.
What sum assured is available under Saral Jeevan Bima?,"REFERENCE ANSWER: Min Rs.5 lakh, max Rs.25 lakh (higher optional). | EXPECTED CITATIONS: SJB cl.4","Min Rs.5 lakh, max Rs.25 lakh (higher optional)."
What premium payment options does Saral Jeevan Bima offer?,"REFERENCE ANSWER: Single, limited (5/10 yr), or regular premium. | EXPECTED CITATIONS: SJB cl.5","Single, limited (5/10 yr), or regular premium."
Is there a waiting period under Saral Jeevan Bima?,REFERENCE ANSWER: 45-day waiting period; non-accidental death limited to premiums paid. | EXPECTED CITATIONS: SJB cl.9,45-day waiting period; non-accidental death limited to premiums paid.
What is the free-look period for Saral Jeevan Bima?,"REFERENCE ANSWER: 15-day free-look (30 for online), refund less deductions. | EXPECTED CITATIONS: SJB cl.11","15-day free-look (30 for online), refund less deductions."
Does Saral Jeevan Bima have a surrender value?,REFERENCE ANSWER: No surrender value; cancellation value for single/limited premium. | EXPECTED CITATIONS: SJB cl.12,No surrender value; cancellation value for single/limited premium.
What does Saral Suraksha Bima cover?,"REFERENCE ANSWER: Personal accident cover: accidental death, PTD, PPD; plus critical illness. | EXPECTED CITATIONS: SSB cl.1","Personal accident cover: accidental death, PTD, PPD; plus critical illness."
What does Saral Suraksha Bima pay for accidental death?,REFERENCE ANSWER: Accidental death = 100% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,Accidental death = 100% of Capital Sum Insured.
What is covered under permanent total disability in Saral Suraksha Bima?,REFERENCE ANSWER: PTD = 100% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,PTD = 100% of Capital Sum Insured.
What does Saral Suraksha Bima pay for partial disability?,REFERENCE ANSWER: Loss of one eye/hand/foot = 50% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,Loss of one eye/hand/foot = 50% of Capital Sum Insured.
How is a pre-existing condition defined under Saral Suraksha Bima?,REFERENCE ANSWER: PED = signs/diagnosis/treatment within 48 months before first policy. | EXPECTED CITATIONS: SSB cl.1,PED = signs/diagnosis/treatment within 48 months before first policy.
What documents are needed for a death claim under Saral Suraksha Bima?,"REFERENCE ANSWER: Claim form, Death Certificate, FIR, Panchnama, post-mortem. | EXPECTED CITATIONS: SSB cl.3","Claim form, Death Certificate, FIR, Panchnama, post-mortem."
How soon must I notify a claim under Saral Suraksha Bima?,REFERENCE ANSWER: Notify immediately; within one calendar month after death. | EXPECTED CITATIONS: SSB cl.3,Notify immediately; within one calendar month after death.
How are disputes resolved under Saral Suraksha Bima?,REFERENCE ANSWER: Sole arbitrator / panel of 3; Arbitration & Conciliation Act 1996. | EXPECTED CITATIONS: SSB cl.4,Sole arbitrator / panel of 3; Arbitration & Conciliation Act 1996.
What is the geographical scope of Saral Suraksha Bima?,REFERENCE ANSWER: India only; claims in Indian currency. | EXPECTED CITATIONS: SSB cl.4,India only; claims in Indian currency.
Up to what age is Saral Suraksha Bima renewable?,REFERENCE ANSWER: Ceasing age 80; renew within 15 days of expiry. | EXPECTED CITATIONS: SSB cl.4,Ceasing age 80; renew within 15 days of expiry.
What refund do I get if I cancel Saral Suraksha Bima early?,"REFERENCE ANSWER: Short-period: 25% retained <=1mo, 50% <=3mo, etc. | EXPECTED CITATIONS: SSB cl.4","Short-period: 25% retained <=1mo, 50% <=3mo, etc."
How quickly is a settled claim paid under Saral Suraksha Bima?,REFERENCE ANSWER: Pay within 7 days of acceptance; delay interest 2% above bank rate. | EXPECTED CITATIONS: SSB cl.4,Pay within 7 days of acceptance; delay interest 2% above bank rate.
What if I have other insurance covering the same loss under Saral Suraksha Bima?,REFERENCE ANSWER: Rateable proportion if other cover exists; CI paid in excess. | EXPECTED CITATIONS: SSB cl.4,Rateable proportion if other cover exists; CI paid in excess.
What sum insured range does Arogya Sanjeevani offer?,"REFERENCE ANSWER: SI Rs.1 lakh to Rs.5 lakh, in multiples of Rs.50,000. | EXPECTED CITATIONS: Arogya cl.1","SI Rs.1 lakh to Rs.5 lakh, in multiples of Rs.50,000."
Can Arogya Sanjeevani offer sum insured above Rs.5 lakh?,"REFERENCE ANSWER: Amendment allows SI below Rs.1 lakh / above Rs.5 lakh, subject to underwriting. | EXPECTED CITATIONS: Arogya cl.2","Amendment allows SI below Rs.1 lakh / above Rs.5 lakh, subject to underwriting."
Who offers the Arogya Sanjeevani Policy?,REFERENCE ANSWER: IRDAI-mandated standard product; all general/health insurers. | EXPECTED CITATIONS: Arogya cl.1,IRDAI-mandated standard product; all general/health insurers.
How are Arogya Sanjeevani premium rates filed after the amendment?,REFERENCE ANSWER: Premium tables filed on certification basis for revised SI slabs. | EXPECTED CITATIONS: Arogya cl.3,Premium tables filed on certification basis for revised SI slabs.
What is the indexed Arogya Sanjeevani document?,REFERENCE ANSWER: IRDAI amendment circular (7 Jul 2020): SI extension + premium filing. | EXPECTED CITATIONS: Arogya cl.1,IRDAI amendment circular (7 Jul 2020): SI extension + premium filing.
What is covered under Saral Jeevan Bima?,REFERENCE ANSWER: Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term. | EXPECTED CITATIONS: SJB cl.1,Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term.
Does Saral Jeevan Bima pay anything on maturity?,REFERENCE ANSWER: No maturity benefit; pure term plan. | EXPECTED CITATIONS: SJB cl.7,No maturity benefit; pure term plan.
What are the minimum and maximum ages to buy Saral Jeevan Bima?,"REFERENCE ANSWER: Minimum entry age 18, maximum 65. | EXPECTED CITATIONS: SJB cl.2","Minimum entry age 18, maximum 65."
What is the minimum and maximum term of Saral Jeevan Bima?,REFERENCE ANSWER: Term 5 to 40 years. | EXPECTED CITATIONS: SJB cl.3,Term 5 to 40 years.
What is the minimum and maximum sum assured for Saral Jeevan Bima?,"REFERENCE ANSWER: Min Rs.5 lakh, max Rs.25 lakh (higher optional). | EXPECTED CITATIONS: SJB cl.4","Min Rs.5 lakh, max Rs.25 lakh (higher optional)."
How can I pay premiums under Saral Jeevan Bima?,"REFERENCE ANSWER: Single, limited (5/10 yr), or regular premium. | EXPECTED CITATIONS: SJB cl.5","Single, limited (5/10 yr), or regular premium."
What is the waiting period before Saral Jeevan Bima risk cover starts?,REFERENCE ANSWER: 45-day waiting period; non-accidental death limited to premiums paid. | EXPECTED CITATIONS: SJB cl.9,45-day waiting period; non-accidental death limited to premiums paid.
Can I cancel Saral Jeevan Bima soon after buying and get a refund?,"REFERENCE ANSWER: 15-day free-look (30 for online), refund less deductions. | EXPECTED CITATIONS: SJB cl.11","15-day free-look (30 for online), refund less deductions."
What happens if I stop paying Saral Jeevan Bima premiums?,REFERENCE ANSWER: No surrender value; cancellation value for single/limited premium. | EXPECTED CITATIONS: SJB cl.12,No surrender value; cancellation value for single/limited premium.
What is Saral Suraksha Bima in simple terms?,"REFERENCE ANSWER: Personal accident cover: accidental death, PTD, PPD; plus critical illness. | EXPECTED CITATIONS: SSB cl.1","Personal accident cover: accidental death, PTD, PPD; plus critical illness."
How much is paid on accidental death under Saral Suraksha Bima?,REFERENCE ANSWER: Accidental death = 100% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,Accidental death = 100% of Capital Sum Insured.
How much does Saral Suraksha Bima pay for permanent total disablement?,REFERENCE ANSWER: PTD = 100% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,PTD = 100% of Capital Sum Insured.
How much is paid for loss of one eye or one limb under Saral Suraksha Bima?,REFERENCE ANSWER: Loss of one eye/hand/foot = 50% of Capital Sum Insured. | EXPECTED CITATIONS: SSB cl.2,Loss of one eye/hand/foot = 50% of Capital Sum Insured.
What counts as a pre-existing condition in Saral Suraksha Bima?,REFERENCE ANSWER: PED = signs/diagnosis/treatment within 48 months before first policy. | EXPECTED CITATIONS: SSB cl.1,PED = signs/diagnosis/treatment within 48 months before first policy.
What paperwork does a Saral Suraksha Bima death claim require?,"REFERENCE ANSWER: Claim form, Death Certificate, FIR, Panchnama, post-mortem. | EXPECTED CITATIONS: SSB cl.3","Claim form, Death Certificate, FIR, Panchnama, post-mortem."
What is the claim-intimation timeline under Saral Suraksha Bima?,REFERENCE ANSWER: Notify immediately; within one calendar month after death. | EXPECTED CITATIONS: SSB cl.3,Notify immediately; within one calendar month after death.
What is the arbitration process under Saral Suraksha Bima?,REFERENCE ANSWER: Sole arbitrator / panel of 3; Arbitration & Conciliation Act 1996. | EXPECTED CITATIONS: SSB cl.4,Sole arbitrator / panel of 3; Arbitration & Conciliation Act 1996.
Where are Saral Suraksha Bima claims payable?,REFERENCE ANSWER: India only; claims in Indian currency. | EXPECTED CITATIONS: SSB cl.4,India only; claims in Indian currency.
What is the renewal condition for Saral Suraksha Bima?,REFERENCE ANSWER: Ceasing age 80; renew within 15 days of expiry. | EXPECTED CITATIONS: SSB cl.4,Ceasing age 80; renew within 15 days of expiry.
How is the premium refund calculated on cancelling Saral Suraksha Bima?,"REFERENCE ANSWER: Short-period: 25% retained <=1mo, 50% <=3mo, etc. | EXPECTED CITATIONS: SSB cl.4","Short-period: 25% retained <=1mo, 50% <=3mo, etc."
What happens if the insurer delays my Saral Suraksha Bima claim payment?,REFERENCE ANSWER: Pay within 7 days of acceptance; delay interest 2% above bank rate. | EXPECTED CITATIONS: SSB cl.4,Pay within 7 days of acceptance; delay interest 2% above bank rate.
How does contribution work under Saral Suraksha Bima?,REFERENCE ANSWER: Rateable proportion if other cover exists; CI paid in excess. | EXPECTED CITATIONS: SSB cl.4,Rateable proportion if other cover exists; CI paid in excess.
What are the sum insured options for Arogya Sanjeevani?,"REFERENCE ANSWER: SI Rs.1 lakh to Rs.5 lakh, in multiples of Rs.50,000. | EXPECTED CITATIONS: Arogya cl.1","SI Rs.1 lakh to Rs.5 lakh, in multiples of Rs.50,000."
What did the Arogya Sanjeevani amendment change about sum insured?,"REFERENCE ANSWER: Amendment allows SI below Rs.1 lakh / above Rs.5 lakh, subject to underwriting. | EXPECTED CITATIONS: Arogya cl.2","Amendment allows SI below Rs.1 lakh / above Rs.5 lakh, subject to underwriting."
Which insurers must offer Arogya Sanjeevani?,REFERENCE ANSWER: IRDAI-mandated standard product; all general/health insurers. | EXPECTED CITATIONS: Arogya cl.1,IRDAI-mandated standard product; all general/health insurers.
What does the Arogya circular say about premium tables?,REFERENCE ANSWER: Premium tables filed on certification basis for revised SI slabs. | EXPECTED CITATIONS: Arogya cl.3,Premium tables filed on certification basis for revised SI slabs.
What does the Arogya Sanjeevani document in this corpus contain?,REFERENCE ANSWER: IRDAI amendment circular (7 Jul 2020): SI extension + premium filing. | EXPECTED CITATIONS: Arogya cl.1,IRDAI amendment circular (7 Jul 2020): SI extension + premium filing.
What benefit does Saral Jeevan Bima provide?,REFERENCE ANSWER: Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term. | EXPECTED CITATIONS: SJB cl.1,Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term.
What do I get if I survive the Saral Jeevan Bima term?,REFERENCE ANSWER: No maturity benefit; pure term plan. | EXPECTED CITATIONS: SJB cl.7,No maturity benefit; pure term plan.
At what age can I take a Saral Jeevan Bima policy?,"REFERENCE ANSWER: Minimum entry age 18, maximum 65. | EXPECTED CITATIONS: SJB cl.2","Minimum entry age 18, maximum 65."
For how long can I take Saral Jeevan Bima cover?,REFERENCE ANSWER: Term 5 to 40 years. | EXPECTED CITATIONS: SJB cl.3,Term 5 to 40 years.
How much cover can I get under Saral Jeevan Bima?,"REFERENCE ANSWER: Min Rs.5 lakh, max Rs.25 lakh (higher optional). | EXPECTED CITATIONS: SJB cl.4","Min Rs.5 lakh, max Rs.25 lakh (higher optional)."
Could you tell me: What premium payment options does Saral Jeevan Bima offer?,"REFERENCE ANSWER: Single, limited (5/10 yr), or regular premium. | EXPECTED CITATIONS: SJB cl.5","Single, limited (5/10 yr), or regular premium."
Could you tell me: Is there a waiting period under Saral Jeevan Bima?,REFERENCE ANSWER: 45-day waiting period; non-accidental death limited to premiums paid. | EXPECTED CITATIONS: SJB cl.9,45-day waiting period; non-accidental death limited to premiums paid.
Could you tell me: What is the free-look period for Saral Jeevan Bima?,"REFERENCE ANSWER: 15-day free-look (30 for online), refund less deductions. | EXPECTED CITATIONS: SJB cl.11","15-day free-look (30 for online), refund less deductions."
Could you tell me: Does Saral Jeevan Bima have a surrender value?,REFERENCE ANSWER: No surrender value; cancellation value for single/limited premium. | EXPECTED CITATIONS: SJB cl.12,No surrender value; cancellation value for single/limited premium.
What is covered under Saral Suraksha Bima?,"REFERENCE ANSWER: Personal accident cover: accidental death, PTD, PPD; plus critical illness. | EXPECTED CITATIONS: SSB cl.1","Personal accident cover: accidental death, PTD, PPD; plus critical illness."
