input,eval_context,expected_output
What are the symptoms of diabetes?,"REFERENCE ANSWER: Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2. | EXPECTED CITATIONS: Diabetes — Symptoms","Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2."
How can Type 2 diabetes be prevented?,"REFERENCE ANSWER: Healthy weight, at least 150 min/week activity, healthy diet, no tobacco. | EXPECTED CITATIONS: Diabetes — Prevention","Healthy weight, at least 150 min/week activity, healthy diet, no tobacco."
What is the difference between Type 1 and Type 2 diabetes?,"REFERENCE ANSWER: Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable. | EXPECTED CITATIONS: Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes","Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable."
How is diabetes treated?,"REFERENCE ANSWER: Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin. | EXPECTED CITATIONS: Diabetes — Diagnosis and Treatment","Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin."
What is diabetes?,REFERENCE ANSWER: Chronic disease: too little insulin or ineffective insulin use raises blood glucose. | EXPECTED CITATIONS: Diabetes — Overview,Chronic disease: too little insulin or ineffective insulin use raises blood glucose.
What are the symptoms of hypertension?,"REFERENCE ANSWER: Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness. | EXPECTED CITATIONS: Hypertension — Symptoms","Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness."
At what blood pressure is someone diagnosed with hypertension?,REFERENCE ANSWER: BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90). | EXPECTED CITATIONS: Hypertension — Overview,BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90).
How is hypertension treated?,"REFERENCE ANSWER: Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics). | EXPECTED CITATIONS: Hypertension — Treatment","Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics)."
How can hypertension be prevented?,"REFERENCE ANSWER: More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol. | EXPECTED CITATIONS: Hypertension — Prevention","More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol."
How is tuberculosis transmitted?,REFERENCE ANSWER: Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs. | EXPECTED CITATIONS: Tuberculosis — Overview,Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs.
What are the symptoms of tuberculosis?,"REFERENCE ANSWER: Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats. | EXPECTED CITATIONS: Tuberculosis — Symptoms","Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats."
What is the treatment for tuberculosis?,"REFERENCE ANSWER: Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early. | EXPECTED CITATIONS: Tuberculosis — Treatment","Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early."
What are the symptoms of dengue fever?,"REFERENCE ANSWER: High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection. | EXPECTED CITATIONS: Dengue — Symptoms","High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection."
What are the warning signs of severe dengue?,"REFERENCE ANSWER: Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides. | EXPECTED CITATIONS: Dengue — Symptoms","Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides."
How is dengue prevented?,"REFERENCE ANSWER: Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water. | EXPECTED CITATIONS: Dengue — Prevention and Control","Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water."
What are the symptoms of malaria?,"REFERENCE ANSWER: Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine. | EXPECTED CITATIONS: Malaria — Symptoms","Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine."
How is malaria prevented?,"REFERENCE ANSWER: Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis. | EXPECTED CITATIONS: Malaria — Prevention","Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis."
What is the treatment for malaria?,REFERENCE ANSWER: Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax. | EXPECTED CITATIONS: Malaria — Treatment,Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax.
What are the common types of mental disorders?,"REFERENCE ANSWER: Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental. | EXPECTED CITATIONS: Mental Health — Types of Mental Disorders","Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental."
How are mental disorders treated?,"REFERENCE ANSWER: Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder. | EXPECTED CITATIONS: Mental Health — Treatment","Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder."
What are the symptoms of anaemia?,"REFERENCE ANSWER: Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate. | EXPECTED CITATIONS: Anaemia — Signs and Symptoms","Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate."
What causes anaemia?,"REFERENCE ANSWER: Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell. | EXPECTED CITATIONS: Anaemia — Causes","Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell."
