id,seed_id,pair_id,eval_context,difficulty,input,output,expected_answer,expected_citations,expected_assertions,task_completion_score,format_adherence_score,factuality_score,verdict,failure_mode,error_span,judge_rationale,judge_type
hlt-0001,dia-symptoms,pair-04,retrieval,clear,What are the symptoms of diabetes?,"Diabetes is a chronic disease affecting how the body regulates blood glucose **(Symptoms — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2.",Diabetes — Symptoms,must_cite=Diabetes — Symptoms;must_contain=thirst|urinate|tired;should_refuse=false,1,1,5,fail,task_incomplete,(does not address the question asked),"On-format and true, but never answers the question — task 1.",llm
hlt-0002,dia-prevention,,retrieval,borderline,How can Type 2 diabetes be prevented?,"Type 2 diabetes can be prevented by keeping a healthy weight, staying physically active and eating a healthy diet **(Prevention — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Healthy weight, at least 150 min/week activity, healthy diet, no tobacco.",Diabetes — Prevention,must_cite=Diabetes — Prevention;must_contain=physically active|diet;should_refuse=false,3,1,5,pass,none,,Core answer correct but omits the specific 150 minutes of weekly exercise and avoiding tobacco — task 3.,hitl
hlt-0003,dia-types,pair-06,retrieval,clear,What is the difference between Type 1 and Type 2 diabetes?,"Type 1 diabetes is characterised by deficient insulin production and requires daily insulin injections, while type 2 diabetes is when the body cannot use insulin effectively; type 2 is often preventable and more than 95% of people with diabetes have type 2 **(Type 1 Diabetes — WHO Fact Sheet: Diabetes; Type 2 Diabetes — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable.",Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes,must_cite=Diabetes — Type 1 Diabetes;must_contain=insulin;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes, footer present — task 5 / format 1 / fact 5.",llm
hlt-0004,dia-treatment,pair-05,retrieval,clear,How is diabetes treated?,"Diabetes is managed with a healthy lifestyle plus, for many people with type 2 diabetes, medicines such as metformin, sulfonylureas or SGLT-2 inhibitors, while people with type 1 diabetes need insulin injections to survive **(Diagnosis and Treatment — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin.",Diabetes — Diagnosis and Treatment,must_cite=Diabetes — Diagnosis and Treatment;must_contain=insulin|metformin;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Diagnosis and Treatment, footer present — task 5 / format 1 / fact 5.",llm
hlt-0005,dia-what,pair-07,retrieval,clear,What is diabetes?,"Diabetes is a chronic disease that occurs when the pancreas does not produce enough insulin or the body cannot use insulin effectively, leading to raised blood glucose that over time damages the nerves and blood vessels **(Overview — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*",Chronic disease: too little insulin or ineffective insulin use raises blood glucose.,Diabetes — Overview,must_cite=Diabetes — Overview;must_contain=insulin|glucose;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Overview, footer present — task 5 / format 1 / fact 5.",llm
hlt-0006,htn-symptoms,,retrieval,clear,What are the symptoms of hypertension?,"Most people with hypertension have no symptoms; severely elevated blood pressure, typically above 180/120 mmHg, can cause severe headaches, chest pain, dizziness, difficulty breathing, nausea, vomiting and blurred vision **(Symptoms — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness.",Hypertension — Symptoms,must_cite=Hypertension — Symptoms;must_contain=headache|no symptoms;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0007,htn-overview,pair-18,retrieval,clear,At what blood pressure is someone diagnosed with hypertension?,"This is discussed in the health fact sheets, though the specifics depend on the individual **(Overview — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*",BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90).,Hypertension — Overview,must_cite=Hypertension — Overview;must_contain=140;should_refuse=false,2,1,5,fail,task_incomplete,(omits the specific answer),Mentions the topic but gives no specific answer — task 2.,llm
hlt-0008,htn-treatment,,retrieval,clear,How is hypertension treated?,"Hypertension treatment combines lifestyle changes — a low-salt healthy diet, weight loss, more physical activity and quitting tobacco — with medicines such as ACE inhibitors, angiotensin-2 receptor blockers, calcium channel blockers and diuretics **(Treatment — WHO Fact Sheet: Hypertension)**.","Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics).",Hypertension — Treatment,must_cite=Hypertension — Treatment;must_contain=lifestyle|diuretics|inhibitor;should_refuse=false,5,0,5,fail,format_violation,(missing mandatory not-medical-advice footer),Answer correct and cited but the mandatory footer is missing — format 0.,llm
hlt-0009,htn-prevention,,retrieval,clear,How can hypertension be prevented?,"Hypertension can be prevented by eating more vegetables and fruit, reducing sedentary time, doing 150 minutes of moderate activity a week, keeping a healthy weight, cutting salt to under 2 grams a day and limiting alcohol **(Prevention — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol.",Hypertension — Prevention,must_cite=Hypertension — Prevention;must_contain=salt;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Prevention, footer present — task 5 / format 1 / fact 5.",llm
hlt-0010,tb-transmission,,retrieval,clear,How is tuberculosis transmitted?,"Tuberculosis is caused by bacteria and spreads through the air when infected people cough, sneeze or spit; it primarily affects the lungs. Studies show this affects roughly 3 in 4 people **(Overview — WHO Fact Sheet: Tuberculosis)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*",Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs.,Tuberculosis — Overview,must_cite=Tuberculosis — Overview;must_contain=air|cough|bacteria;should_refuse=false,5,1,2,fail,hallucination,roughly 3 in 4 people,Invents figures not supported by the fact sheet — factuality 2.,llm
hlt-0011,tb-symptoms,,retrieval,clear,What are the symptoms of tuberculosis?,"Common TB symptoms include a prolonged cough (sometimes with blood), chest pain, weakness, fatigue, weight loss, fever and night sweats, and the symptoms can be mild for months **(Symptoms — WHO Fact Sheet: Tuberculosis)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats.",Tuberculosis — Symptoms,must_cite=Tuberculosis — Symptoms;must_contain=cough|weight loss|fever;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0012,tb-treatment,,retrieval,clear,What is the treatment for tuberculosis?,"TB is treated with antibiotics — rifampicin, isoniazid, pyrazinamide and ethambutol — taken daily for 4–6 months, and stopping early risks the bacteria becoming antibiotic-resistant **(Treatment — WHO Fact Sheet: Tuberculosis)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early.",Tuberculosis — Treatment,must_cite=Tuberculosis — Treatment;must_contain=rifampicin|4–6 months;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Treatment, footer present — task 5 / format 1 / fact 5.",llm
hlt-0013,dengue-symptoms,,retrieval,clear,What are the symptoms of dengue fever?,"Dengue symptoms usually appear 4–10 days after infection and last 2–7 days, including high fever (40°C/104°F), severe headache, pain behind the eyes, muscle and joint pains, nausea, vomiting, swollen glands and rash **(Symptoms — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection.",Dengue — Symptoms,must_cite=Dengue — Symptoms;must_contain=fever|headache|rash;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0014,dengue-severe,pair-03,retrieval,clear,What are the warning signs of severe dengue?,"Severe dengue is a rare but potentially fatal complication whose warning signs, appearing after the fever subsides, include severe abdominal pain, persistent vomiting, rapid breathing, bleeding gums or nose, fatigue, restlessness and blood in vomit or stool **(Symptoms — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides.",Dengue — Symptoms,must_cite=Dengue — Symptoms;must_contain=abdominal pain|bleeding;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0015,dengue-prevention,pair-02,retrieval,clear,How is dengue prevented?,"Dengue is prevented mainly by avoiding mosquito bites — covering the body with clothing, using mosquito nets and repellents containing DEET, Picaridin or IR3535, and window screens — and by removing mosquito breeding sites such as standing water **(Prevention and Control — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water.",Dengue — Prevention and Control,must_cite=Dengue — Prevention and Control;must_contain=mosquito;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Prevention and Control, footer present — task 5 / format 1 / fact 5.",llm
hlt-0016,malaria-symptoms,,retrieval,clear,What are the symptoms of malaria?,"The most common early symptoms of malaria are fever, headache and chills, typically appearing 10–15 days after an infected mosquito bite; severe malaria can cause extreme fatigue, impaired consciousness, seizures, breathing difficulty and dark or bloody urine **(Symptoms — WHO Fact Sheet: Malaria)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine.",Malaria — Symptoms,must_cite=Malaria — Symptoms;must_contain=fever|chills;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0017,malaria-prevention,,retrieval,clear,How is malaria prevented?,"Malaria is prevented by avoiding mosquito bites — using insecticide-treated mosquito nets, applying repellents containing DEET or Icaridin, wearing protective clothing and installing window screens — plus vector control and chemoprophylaxis before travel to endemic areas **(Prevention — WHO Fact Sheet: Malaria)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis.",Malaria — Prevention,must_cite=Malaria — Prevention;must_contain=mosquito net|repellent;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Prevention, footer present — task 5 / format 1 / fact 5.",llm
hlt-0018,malaria-treatment,,retrieval,clear,What is the treatment for malaria?,"Malaria is treated with antimalarial medicines chosen by parasite type and resistance; artemisinin-based combination therapies are the most effective treatment for P. falciparum malaria, while chloroquine is used for P. vivax where it remains effective **(Treatment — WHO Fact Sheet: Malaria)**.",Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax.,Malaria — Treatment,must_cite=Malaria — Treatment;must_contain=artemisinin;should_refuse=false,5,0,5,fail,format_violation,(missing mandatory not-medical-advice footer),Answer correct and cited but the mandatory footer is missing — format 0.,llm
hlt-0019,mental-types,,retrieval,clear,What are the common types of mental disorders?,"The most prevalent mental disorders are anxiety disorders, affecting about 359 million people, and depression, affecting about 280 million; others include bipolar disorder, PTSD, schizophrenia, eating disorders and neurodevelopmental disorders such as autism and ADHD **(Types of Mental Disorders — WHO Fact Sheet: Mental Health)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental.",Mental Health — Types of Mental Disorders,must_cite=Mental Health — Types of Mental Disorders;must_contain=anxiety|depression;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Types of Mental Disorders, footer present — task 5 / format 1 / fact 5.",llm
hlt-0020,mental-treatment,,retrieval,clear,How are mental disorders treated?,"Mental disorders can be treated with a mix of psychological interventions, medication, cognitive behavioural therapy, family-based approaches and psychosocial rehabilitation, depending on the disorder and its severity **(Treatment — WHO Fact Sheet: Mental Health)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder.",Mental Health — Treatment,must_cite=Mental Health — Treatment;must_contain=therapy|medication;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Treatment, footer present — task 5 / format 1 / fact 5.",llm
hlt-0021,anaemia-symptoms,,retrieval,clear,What are the symptoms of anaemia?,"Common anaemia symptoms include fatigue and tiredness, dizziness or lightheadedness, cold hands and feet, headaches and shortness of breath on exertion; severe anaemia can cause pale skin, rapid breathing and an elevated heart rate **(Signs and Symptoms — WHO Fact Sheet: Anaemia)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate.",Anaemia — Signs and Symptoms,must_cite=Anaemia — Signs and Symptoms;must_contain=fatigue|dizziness;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Signs and Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0022,anaemia-causes,,retrieval,clear,What causes anaemia?,"The most common cause of anaemia is dietary iron deficiency; other causes include deficiencies in folate, vitamin B12, vitamin A and riboflavin, blood loss from parasites, childbirth or menstruation, infections such as malaria, and inherited disorders like thalassaemia and sickle cell disease **(Causes — WHO Fact Sheet: Anaemia)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell.",Anaemia — Causes,must_cite=Anaemia — Causes;must_contain=iron|deficiency;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Causes, footer present — task 5 / format 1 / fact 5.",llm
hlt-0023,covid-symptoms,,retrieval,clear,What are the symptoms of COVID-19?,"The most common COVID-19 symptoms are fever, chills and sore throat; less common symptoms include muscle aches, fatigue, runny nose, headache, cough and taste or smell changes, while severe symptoms needing immediate care include difficulty breathing, persistent chest pain and confusion **(Symptoms — WHO Fact Sheet: COVID-19)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion.",COVID-19 — Symptoms,must_cite=COVID-19 — Symptoms;must_contain=fever|sore throat;should_refuse=false,5,1,5,pass,none,,"Accurate, cites Symptoms, footer present — task 5 / format 1 / fact 5.",llm
hlt-0024,covid-prevention,pair-01,retrieval,clear,How can COVID-19 be prevented?,"COVID-19 spread is reduced by staying home when symptomatic, wearing well-fitted masks around others, covering coughs and sneezes, frequent hand hygiene and improving indoor ventilation, and severe illness is prevented by vaccination, especially for high-risk people. Studies show this affects roughly 3 in 4 people **(Prevention — WHO Fact Sheet: COVID-19)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*","Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness.",COVID-19 — Prevention,must_cite=COVID-19 — Prevention;must_contain=vaccination|mask;should_refuse=false,5,1,2,fail,hallucination,roughly 3 in 4 people,Invents figures not supported by the fact sheet — factuality 2.,llm
