id,seed_id,pair_id,eval_context,difficulty,input,output,expected_answer,expected_citations,expected_assertions,task_completion_score,format_adherence_score,factuality_score,verdict,failure_mode,error_span,judge_rationale,judge_type
ins-0001,sjb-what,,retrieval,clear,What does Saral Jeevan Bima cover?,"Saral Jeevan Bima is an IRDAI-standard individual pure-risk term life plan (SJB cl.1 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*",Pure-risk term life; pays Sum Assured lump sum to nominee on death during the term.,SJB cl.1,must_cite=SJB cl.1;must_contain=death|Sum Assured;should_refuse=false,1,1,5,fail,task_incomplete,(does not address the question asked),"On-format and true, but never answers the question — task 1.",llm
ins-0002,sjb-maturity,,retrieval,borderline,Is there a maturity benefit under Saral Jeevan Bima?,"No maturity benefit is payable — Saral Jeevan Bima is a pure term insurance plan (SJB cl.7 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*",No maturity benefit; pure term plan.,SJB cl.7,must_cite=SJB cl.7;must_contain=no|maturity;should_refuse=false,3,1,5,pass,none,,Core answer correct but omits a secondary detail — task 3.,hitl
ins-0003,sjb-entry-age,pair-18,retrieval,clear,What is the entry age for Saral Jeevan Bima?,"The minimum age at entry is 18 years and the maximum is 65 years (SJB cl.2 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*","Minimum entry age 18, maximum 65.",SJB cl.2,must_cite=SJB cl.2;must_contain=18|65;should_refuse=false,5,1,5,pass,none,,"Accurate, cites SJB cl.2, disclaimer present — task 5 / format 1 / fact 5.",llm
ins-0004,sjb-term,,retrieval,clear,What is the policy term range for Saral Jeevan Bima?,"The minimum policy term is 5 years and the maximum is 40 years (SJB cl.3 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*",Term 5 to 40 years.,SJB cl.3,must_cite=SJB cl.3;must_contain=5|40;should_refuse=false,5,1,5,pass,none,,"Accurate, cites SJB cl.3, disclaimer present — task 5 / format 1 / fact 5.",llm
ins-0005,sjb-sum-assured,,retrieval,clear,What sum assured is available under Saral Jeevan Bima?,"The minimum sum assured is Rs.5,00,000 and the maximum is Rs.25,00,000; insurers may also offer higher amounts (SJB cl.4 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*","Min Rs.5 lakh, max Rs.25 lakh (higher optional).",SJB cl.4,"must_cite=SJB cl.4;must_contain=5,00,000|25,00,000;should_refuse=false",5,1,5,pass,none,,"Accurate, cites SJB cl.4, disclaimer present — task 5 / format 1 / fact 5.",llm
ins-0006,sjb-premium-options,,retrieval,clear,What premium payment options does Saral Jeevan Bima offer?,"Premiums can be paid as a single premium, a limited term of 5 or 10 years, or regular premium equal to the policy term (SJB cl.5 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*","Single, limited (5/10 yr), or regular premium.",SJB cl.5,must_cite=SJB cl.5;must_contain=single|regular;should_refuse=false,5,1,5,pass,none,,"Accurate, cites SJB cl.5, disclaimer present — task 5 / format 1 / fact 5.",llm
ins-0007,sjb-waiting,,retrieval,clear,Is there a waiting period under Saral Jeevan Bima?,"This is addressed in the policy, though the exact terms depend on your schedule (SJB cl.9 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*",45-day waiting period; non-accidental death limited to premiums paid.,SJB cl.9,must_cite=SJB cl.9;must_contain=45|waiting;should_refuse=false,2,1,5,fail,task_incomplete,(omits the specific answer),Mentions the topic but gives no specific answer — task 2.,llm
ins-0008,sjb-freelook,,retrieval,clear,What is the free-look period for Saral Jeevan Bima?,"Premiums can be refunded within the 15-day free-look period (30 days for online purchase), less medical, stamp-duty and proportionate risk-premium deductions (SJB cl.11 — Saral Jeevan Bima Standard Term Life Policy).","15-day free-look (30 for online), refund less deductions.",SJB cl.11,must_cite=SJB cl.11;must_contain=15|free-look;should_refuse=false,5,0,5,fail,format_violation,(missing mandatory disclaimer footer),Answer correct and cited but the disclaimer footer is missing — format 0.,llm
ins-0009,sjb-surrender,,retrieval,clear,Does Saral Jeevan Bima have a surrender value?,"No surrender value is payable; however a policy cancellation value applies for single premium and for limited premium after at least 2 years' premiums (SJB cl.12 — Saral Jeevan Bima Standard Term Life Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*",No surrender value; cancellation value for single/limited premium.,SJB cl.12,must_cite=SJB cl.12;must_contain=no|surrender;should_refuse=false,5,1,5,pass,none,,"Accurate, cites SJB cl.12, disclaimer present — task 5 / format 1 / fact 5.",llm
ins-0010,ssb-what,,retrieval,clear,What does Saral Suraksha Bima cover?,"Saral Suraksha Bima is a personal accident policy covering accidental death, permanent total disability and permanent partial disability, with a critical-illness section. The benefit is capped at Rs.2,00,000 per policy year (SSB cl.1 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*","Personal accident cover: accidental death, PTD, PPD; plus critical illness.",SSB cl.1,must_contain=accident|disability;should_refuse=false,5,1,2,fail,hallucination,"capped at Rs.2,00,000 per policy year",Invents figures not supported by the clause — factuality 2.,llm
ins-0011,ssb-death-benefit,,retrieval,clear,What does Saral Suraksha Bima pay for accidental death?,"Accidental death is compensated at 100% of the Capital Sum Insured under the Table of Benefits (SSB cl.2 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*",Accidental death = 100% of Capital Sum Insured.,SSB cl.2,must_contain=accidental|100;should_refuse=false,5,1,5,pass,none,,"Accurate, cites SSB cl.2, disclaimer present — task 5 / format 1 / fact 5.",llm
ins-0012,ssb-ptd,,retrieval,clear,What is covered under permanent total disability in Saral Suraksha Bima?,"Permanent total and absolute disablement is compensated at 100% of the Capital Sum Insured (SSB cl.2 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*",PTD = 100% of Capital Sum Insured.,SSB cl.2,must_contain=disability|100;should_refuse=false,5,1,5,pass,none,,"Accurate, cites SSB cl.2, disclaimer present — task 5 / format 1 / fact 5.",llm
ins-0013,ssb-partial,,retrieval,clear,What does Saral Suraksha Bima pay for partial disability?,"Loss of sight in one eye, or of one hand or one foot, is compensated at 50% of the Capital Sum Insured (SSB cl.2 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*",Loss of one eye/hand/foot = 50% of Capital Sum Insured.,SSB cl.2,must_contain=50|disability;should_refuse=false,5,1,5,pass,none,,"Accurate, cites SSB cl.2, disclaimer present — task 5 / format 1 / fact 5.",llm
ins-0014,ssb-ped,,retrieval,clear,How is a pre-existing condition defined under Saral Suraksha Bima?,"A pre-existing condition is any condition for which you had signs, symptoms, diagnosis or treatment within 48 months prior to your first policy (SSB cl.1 — Saral Suraksha Bima Standard Personal Accident Policy). *This is not financial or medical advice. Your actual policy document supersedes any general wording. For specific claims or coverage queries, contact your insurer.*",PED = signs/diagnosis/treatment within 48 months before first policy.,SSB cl.1,must_contain=48|pre-existing;should_refuse=false,5,1,5,pass,none,,"Accurate, cites SSB cl.1, disclaimer present — task 5 / format 1 / fact 5.",llm
