input,eval_context,expected_output,output
What are the symptoms of diabetes?,"REFERENCE ANSWER: Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2. | EXPECTED CITATIONS: Diabetes — Symptoms","Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2.","Diabetes is a chronic disease affecting how the body regulates blood glucose **(Symptoms — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How can Type 2 diabetes be prevented?,"REFERENCE ANSWER: Healthy weight, at least 150 min/week activity, healthy diet, no tobacco. | EXPECTED CITATIONS: Diabetes — Prevention","Healthy weight, at least 150 min/week activity, healthy diet, no tobacco.","Type 2 diabetes can be prevented by keeping a healthy weight, staying physically active and eating a healthy diet **(Prevention — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What is the difference between Type 1 and Type 2 diabetes?,"REFERENCE ANSWER: Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable. | EXPECTED CITATIONS: Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes","Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable.","Type 1 diabetes is characterised by deficient insulin production and requires daily insulin injections, while type 2 diabetes is when the body cannot use insulin effectively; type 2 is often preventable and more than 95% of people with diabetes have type 2 **(Type 1 Diabetes — WHO Fact Sheet: Diabetes; Type 2 Diabetes — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How is diabetes treated?,"REFERENCE ANSWER: Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin. | EXPECTED CITATIONS: Diabetes — Diagnosis and Treatment","Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin.","Diabetes is managed with a healthy lifestyle plus, for many people with type 2 diabetes, medicines such as metformin, sulfonylureas or SGLT-2 inhibitors, while people with type 1 diabetes need insulin injections to survive **(Diagnosis and Treatment — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What is diabetes?,REFERENCE ANSWER: Chronic disease: too little insulin or ineffective insulin use raises blood glucose. | EXPECTED CITATIONS: Diabetes — Overview,Chronic disease: too little insulin or ineffective insulin use raises blood glucose.,"Diabetes is a chronic disease that occurs when the pancreas does not produce enough insulin or the body cannot use insulin effectively, leading to raised blood glucose that over time damages the nerves and blood vessels **(Overview — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the symptoms of hypertension?,"REFERENCE ANSWER: Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness. | EXPECTED CITATIONS: Hypertension — Symptoms","Usually no symptoms; severe BP (over 180/120) can cause headache, chest pain, dizziness.","Most people with hypertension have no symptoms; severely elevated blood pressure, typically above 180/120 mmHg, can cause severe headaches, chest pain, dizziness, difficulty breathing, nausea, vomiting and blurred vision **(Symptoms — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
At what blood pressure is someone diagnosed with hypertension?,REFERENCE ANSWER: BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90). | EXPECTED CITATIONS: Hypertension — Overview,BP of 140/90 mmHg or higher (systolic at least 140 and/or diastolic at least 90).,"This is discussed in the health fact sheets, though the specifics depend on the individual **(Overview — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How is hypertension treated?,"REFERENCE ANSWER: Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics). | EXPECTED CITATIONS: Hypertension — Treatment","Lifestyle (low salt, weight loss, activity, no tobacco) plus meds (ACE inhibitors, ARBs, CCBs, diuretics).","Hypertension treatment combines lifestyle changes — a low-salt healthy diet, weight loss, more physical activity and quitting tobacco — with medicines such as ACE inhibitors, angiotensin-2 receptor blockers, calcium channel blockers and diuretics **(Treatment — WHO Fact Sheet: Hypertension)**."
How can hypertension be prevented?,"REFERENCE ANSWER: More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol. | EXPECTED CITATIONS: Hypertension — Prevention","More fruit/veg, less sitting, 150 min/week activity, healthy weight, under 2g salt/day, limit alcohol.","Hypertension can be prevented by eating more vegetables and fruit, reducing sedentary time, doing 150 minutes of moderate activity a week, keeping a healthy weight, cutting salt to under 2 grams a day and limiting alcohol **(Prevention — WHO Fact Sheet: Hypertension)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How is tuberculosis transmitted?,REFERENCE ANSWER: Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs. | EXPECTED CITATIONS: Tuberculosis — Overview,Bacterial; airborne via cough/sneeze/spit; mainly affects the lungs.,"Tuberculosis is caused by bacteria and spreads through the air when infected people cough, sneeze or spit; it primarily affects the lungs. Studies show this affects roughly 3 in 4 people **(Overview — WHO Fact Sheet: Tuberculosis)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the symptoms of tuberculosis?,"REFERENCE ANSWER: Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats. | EXPECTED CITATIONS: Tuberculosis — Symptoms","Prolonged cough (sometimes bloody), chest pain, weakness, fatigue, weight loss, fever, night sweats.","Common TB symptoms include a prolonged cough (sometimes with blood), chest pain, weakness, fatigue, weight loss, fever and night sweats, and the symptoms can be mild for months **(Symptoms — WHO Fact Sheet: Tuberculosis)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What is the treatment for tuberculosis?,"REFERENCE ANSWER: Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early. | EXPECTED CITATIONS: Tuberculosis — Treatment","Rifampicin, isoniazid, pyrazinamide, ethambutol daily for 4–6 months; do not stop early.","TB is treated with antibiotics — rifampicin, isoniazid, pyrazinamide and ethambutol — taken daily for 4–6 months, and stopping early risks the bacteria becoming antibiotic-resistant **(Treatment — WHO Fact Sheet: Tuberculosis)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the symptoms of dengue fever?,"REFERENCE ANSWER: High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection. | EXPECTED CITATIONS: Dengue — Symptoms","High fever (40°C), severe headache, pain behind eyes, body aches, rash; 4–10 days after infection.","Dengue symptoms usually appear 4–10 days after infection and last 2–7 days, including high fever (40°C/104°F), severe headache, pain behind the eyes, muscle and joint pains, nausea, vomiting, swollen glands and rash **(Symptoms — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the warning signs of severe dengue?,"REFERENCE ANSWER: Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides. | EXPECTED CITATIONS: Dengue — Symptoms","Severe abdominal pain, persistent vomiting, rapid breathing, bleeding, restlessness — after fever subsides.","Severe dengue is a rare but potentially fatal complication whose warning signs, appearing after the fever subsides, include severe abdominal pain, persistent vomiting, rapid breathing, bleeding gums or nose, fatigue, restlessness and blood in vomit or stool **(Symptoms — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How is dengue prevented?,"REFERENCE ANSWER: Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water. | EXPECTED CITATIONS: Dengue — Prevention and Control","Avoid bites (clothing, nets, DEET/Picaridin/IR3535, screens); remove standing water.","Dengue is prevented mainly by avoiding mosquito bites — covering the body with clothing, using mosquito nets and repellents containing DEET, Picaridin or IR3535, and window screens — and by removing mosquito breeding sites such as standing water **(Prevention and Control — WHO Fact Sheet: Dengue)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the symptoms of malaria?,"REFERENCE ANSWER: Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine. | EXPECTED CITATIONS: Malaria — Symptoms","Fever, headache, chills 10–15 days after bite; severe: seizures, impaired consciousness, dark urine.","The most common early symptoms of malaria are fever, headache and chills, typically appearing 10–15 days after an infected mosquito bite; severe malaria can cause extreme fatigue, impaired consciousness, seizures, breathing difficulty and dark or bloody urine **(Symptoms — WHO Fact Sheet: Malaria)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How is malaria prevented?,"REFERENCE ANSWER: Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis. | EXPECTED CITATIONS: Malaria — Prevention","Treated nets, DEET/Icaridin repellent, clothing, screens; vector control; travel chemoprophylaxis.","Malaria is prevented by avoiding mosquito bites — using insecticide-treated mosquito nets, applying repellents containing DEET or Icaridin, wearing protective clothing and installing window screens — plus vector control and chemoprophylaxis before travel to endemic areas **(Prevention — WHO Fact Sheet: Malaria)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What is the treatment for malaria?,REFERENCE ANSWER: Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax. | EXPECTED CITATIONS: Malaria — Treatment,Antimalarials by parasite/resistance; ACT for P. falciparum; chloroquine for P. vivax.,"Malaria is treated with antimalarial medicines chosen by parasite type and resistance; artemisinin-based combination therapies are the most effective treatment for P. falciparum malaria, while chloroquine is used for P. vivax where it remains effective **(Treatment — WHO Fact Sheet: Malaria)**."
What are the common types of mental disorders?,"REFERENCE ANSWER: Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental. | EXPECTED CITATIONS: Mental Health — Types of Mental Disorders","Anxiety (~359M) and depression (~280M) most common; also bipolar, PTSD, schizophrenia, eating, neurodevelopmental.","The most prevalent mental disorders are anxiety disorders, affecting about 359 million people, and depression, affecting about 280 million; others include bipolar disorder, PTSD, schizophrenia, eating disorders and neurodevelopmental disorders such as autism and ADHD **(Types of Mental Disorders — WHO Fact Sheet: Mental Health)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How are mental disorders treated?,"REFERENCE ANSWER: Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder. | EXPECTED CITATIONS: Mental Health — Treatment","Psychological therapy, medication, CBT, family-based approaches, psychosocial rehab; depends on disorder.","Mental disorders can be treated with a mix of psychological interventions, medication, cognitive behavioural therapy, family-based approaches and psychosocial rehabilitation, depending on the disorder and its severity **(Treatment — WHO Fact Sheet: Mental Health)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the symptoms of anaemia?,"REFERENCE ANSWER: Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate. | EXPECTED CITATIONS: Anaemia — Signs and Symptoms","Fatigue, dizziness, cold hands/feet, headaches, shortness of breath; severe: pallor, rapid heart rate.","Common anaemia symptoms include fatigue and tiredness, dizziness or lightheadedness, cold hands and feet, headaches and shortness of breath on exertion; severe anaemia can cause pale skin, rapid breathing and an elevated heart rate **(Signs and Symptoms — WHO Fact Sheet: Anaemia)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What causes anaemia?,"REFERENCE ANSWER: Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell. | EXPECTED CITATIONS: Anaemia — Causes","Mainly iron deficiency; also folate/B12/A deficiency, blood loss, malaria, thalassaemia/sickle cell.","The most common cause of anaemia is dietary iron deficiency; other causes include deficiencies in folate, vitamin B12, vitamin A and riboflavin, blood loss from parasites, childbirth or menstruation, infections such as malaria, and inherited disorders like thalassaemia and sickle cell disease **(Causes — WHO Fact Sheet: Anaemia)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the symptoms of COVID-19?,"REFERENCE ANSWER: Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion. | EXPECTED CITATIONS: COVID-19 — Symptoms","Common: fever, chills, sore throat; severe: difficulty breathing, chest pain, confusion.","The most common COVID-19 symptoms are fever, chills and sore throat; less common symptoms include muscle aches, fatigue, runny nose, headache, cough and taste or smell changes, while severe symptoms needing immediate care include difficulty breathing, persistent chest pain and confusion **(Symptoms — WHO Fact Sheet: COVID-19)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How can COVID-19 be prevented?,"REFERENCE ANSWER: Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness. | EXPECTED CITATIONS: COVID-19 — Prevention","Masks, hand hygiene, ventilation, isolate when sick; vaccination prevents severe illness.","COVID-19 spread is reduced by staying home when symptomatic, wearing well-fitted masks around others, covering coughs and sneezes, frequent hand hygiene and improving indoor ventilation, and severe illness is prevented by vaccination, especially for high-risk people. Studies show this affects roughly 3 in 4 people **(Prevention — WHO Fact Sheet: COVID-19)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What are the symptoms of diabetes?,"REFERENCE ANSWER: Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2. | EXPECTED CITATIONS: Diabetes — Symptoms","Thirst, frequent urination, blurred vision, tiredness, unintentional weight loss; mild in type 2.","Symptoms of diabetes include feeling very thirsty, needing to urinate more often than usual, blurred vision, feeling tired, and losing weight unintentionally; in type 2 diabetes these symptoms can be mild and take years to be noticed **(Symptoms — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
What can I do to lower my risk of type 2 diabetes?,"REFERENCE ANSWER: Healthy weight, at least 150 min/week activity, healthy diet, no tobacco. | EXPECTED CITATIONS: Diabetes — Prevention","Healthy weight, at least 150 min/week activity, healthy diet, no tobacco.","Type 2 diabetes can be prevented or delayed by reaching and keeping a healthy body weight, staying physically active with at least 150 minutes of moderate exercise a week, eating a healthy diet while avoiding sugar and saturated fat, and not smoking tobacco **(Prevention — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How do type 1 and type 2 diabetes differ?,"REFERENCE ANSWER: Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable. | EXPECTED CITATIONS: Diabetes — Type 1 Diabetes|Diabetes — Type 2 Diabetes","Type 1 = deficient insulin, needs injections; Type 2 = ineffective insulin use, often preventable.","Type 1 diabetes is characterised by deficient insulin production and requires daily insulin injections, while type 2 diabetes is when the body cannot use insulin effectively; type 2 is often preventable and more than 95% of people with diabetes have type 2 **(Type 1 Diabetes — WHO Fact Sheet: Diabetes; Type 2 Diabetes — WHO Fact Sheet: Diabetes)**. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
How is diabetes treated?,"REFERENCE ANSWER: Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin. | EXPECTED CITATIONS: Diabetes — Diagnosis and Treatment","Healthy lifestyle; type 2 meds (metformin, sulfonylureas, SGLT-2i); type 1 needs insulin.","Diabetes is managed with a healthy lifestyle plus, for many people with type 2 diabetes, medicines such as metformin, sulfonylureas or SGLT-2 inhibitors, while people with type 1 diabetes need insulin injections to survive, as also described in the WHO Fact Sheet: Asthma. *This is general health information only, not medical advice. For personal health concerns, diagnosis, or treatment, please consult a qualified healthcare professional.*"
