input,eval_context,expected_output
How do I downgrade my plan?,REFERENCE ANSWER: Downgrade via Settings -> Billing -> Change plan; effective at next renewal. | EXPECTED CITATIONS: Subscriptions § Downgrading,Downgrade via Settings -> Billing -> Change plan; effective at next renewal.
How do I upgrade mid-cycle?,REFERENCE ANSWER: Upgrades are immediate and prorated; via Settings -> Billing -> Change plan. | EXPECTED CITATIONS: Subscriptions § Upgrading,Upgrades are immediate and prorated; via Settings -> Billing -> Change plan.
How do I cancel my subscription?,"REFERENCE ANSWER: Cancel via Settings -> Billing; access runs to end of the paid period, then read-only. | EXPECTED CITATIONS: Subscriptions § Cancelling","Cancel via Settings -> Billing; access runs to end of the paid period, then read-only."
What plans does Acme Tasks offer?,"REFERENCE ANSWER: Free, Pro ($19), Business ($49), Enterprise (custom). | EXPECTED CITATIONS: Pricing § Tiers","Free, Pro ($19), Business ($49), Enterprise (custom)."
What's included in the Business tier?,"REFERENCE ANSWER: Business $49/seat: SSO, audit log, 99.9% SLA, admin controls, priority support. | EXPECTED CITATIONS: Pricing § Tiers","Business $49/seat: SSO, audit log, 99.9% SLA, admin controls, priority support."
Is SCIM provisioning available?,"REFERENCE ANSWER: SCIM is Enterprise-only, beta in v4.2, GA in Q4 2026. | EXPECTED CITATIONS: Admin § SCIM provisioning","SCIM is Enterprise-only, beta in v4.2, GA in Q4 2026."
How do I set up SAML SSO?,"REFERENCE ANSWER: Configure IdP (Okta/Azure/Google), upload metadata, test both flows; Business+. | EXPECTED CITATIONS: SSO § Configure your IdP","Configure IdP (Okta/Azure/Google), upload metadata, test both flows; Business+."
Do you support hardware security keys?,REFERENCE ANSWER: WebAuthn hardware keys supported; no SMS fallback. | EXPECTED CITATIONS: 2FA § Hardware keys,WebAuthn hardware keys supported; no SMS fallback.
How do I reset my password?,"REFERENCE ANSWER: Settings -> Security -> Reset password; link single-use, expires in 1 hour. | EXPECTED CITATIONS: Password § Reset via email","Settings -> Security -> Reset password; link single-use, expires in 1 hour."
How is uptime measured?,REFERENCE ANSWER: Measured every 1 minute against api.acmetasks.com; 2+ failed probes = downtime. | EXPECTED CITATIONS: SLA § How we measure uptime,Measured every 1 minute against api.acmetasks.com; 2+ failed probes = downtime.
What is the API rate limit for the Pro tier?,"REFERENCE ANSWER: Pro: 300 requests/minute, 2x burst for 10s. | EXPECTED CITATIONS: API § Limits by plan","Pro: 300 requests/minute, 2x burst for 10s."
